latitude,longitude
-1.4180,-9.8236
-2.0010,-9.4100
-2.5839,-8.9962
-3.1667,-8.5819
-3.7239,-8.1852
-4.3569,-7.7336
-4.9136,-7.3356
-5.4952,-6.9187
-6.1018,-6.4827
-6.6826,-6.0639
-7.2629,-5.6440
-7.8680,-5.2045
-8.4220,-4.8005
-9.0007,-4.3766
-9.5537,-3.9699
-10.1313,-3.5429
-10.6580,-3.1517
-11.2090,-2.7403
-11.7843,-2.3083
-12.3624,-1.8716
-12.9114,-1.4542
-13.4846,-1.0156
-14.0320,-0.5939
-14.6032,-0.1507
-15.1734,0.2950
-15.7177,0.7239
-16.2861,1.1753
-16.8284,1.6096
-17.3937,2.0662
-17.9335,2.5061
-18.4963,2.9690
-19.0332,3.4148
-19.5930,3.8842
-20.1271,4.3366
-20.6840,4.8132
-21.2392,5.2936
-21.7927,5.7780
-22.3206,6.2453
-22.8948,6.7595
-23.4190,7.2349
-23.9417,7.7147
-24.4862,8.2206
-25.0050,8.7091
-25.5453,9.2246
-26.0601,9.7224
-26.6196,10.2713
-27.1764,10.8259
-27.6844,11.3395
-28.2131,11.8820
-28.7391,12.4304
-29.2626,12.9848
-29.7834,13.5455
-30.2787,14.0876
-30.7937,14.6607
-31.2836,15.2152
-31.7927,15.8016
-32.2767,16.3690
-32.7794,16.9692
-33.2571,17.5501
-33.7533,18.1651
-34.2243,18.7602
-34.7131,19.3901
-35.1772,20.0003
-35.6793,20.6744
-36.1358,21.3004
-36.6088,21.9630
-37.0572,22.6051
-37.5218,23.2852
-37.9619,23.9441
-38.4176,24.6421
-38.8489,25.3186
-39.2950,26.0353
-39.7361,26.7618
-40.1907,27.5303
-40.6023,28.2445
-41.0271,29.0010
-41.4463,29.7679
-41.8596,30.5454
-42.2494,31.2991
-42.6508,32.0974
-43.0458,32.9067
-43.4512,33.7630
-43.8328,34.5950
-44.1914,35.4013
-44.5595,36.2553
-44.9048,37.0829
-45.2738,37.9976
-45.6049,38.8470
-45.9433,39.7463
-46.2881,40.6970
-46.5963,41.5795
-46.8970,42.4726
-47.2029,43.4173
-47.5002,44.3734
-47.7886,45.3408
-48.0560,46.2766
-48.3265,47.2657
-48.5877,48.2659
-48.8504,49.3234
-49.0814,50.3005
-49.3131,51.3323
-49.5251,52.3283
-49.7457,53.4251
-49.9548,54.5320
-50.1363,55.5554
-50.3230,56.6807
-50.4977,57.8149
-50.6472,58.8620
-50.8046,60.0605
-50.9320,61.1217
-51.0489,62.1888
-51.1551,63.2612
-51.2587,64.4366
-51.3459,65.5680
-51.4242,66.7532
-51.4846,67.8430
-51.5339,68.9356
-51.5737,70.0799
-51.6013,71.2261
-51.6168,72.3736
-51.6201,73.5215
-51.6107,74.7191
-51.5879,75.9160
-51.5538,77.0612
-51.5075,78.2046
-51.4519,79.2955
-51.3821,80.4328
-51.3042,81.5173
-51.2067,82.6955
-51.1013,83.8196
-50.9843,84.9380
-50.8614,86.0020
-50.7218,87.1080
-50.5640,88.2545
-50.3940,89.3931
-50.2354,90.3817
-50.0677,91.3634
-49.8910,92.3378
-49.7055,93.3044
-49.5017,94.3087
-49.2984,95.2592
-49.0866,96.2013
-48.8664,97.1351
-48.6270,98.1038
-48.3902,99.0192
-48.1337,99.9687
-47.8808,100.8658
-47.6077,101.7956
-47.3394,102.6733
-47.0504,103.5830
-46.7673,104.4415
-46.4630,105.3308
-46.1656,106.1698
-45.8614,106.9992
-45.5356,107.8579
-45.2181,108.6675
-44.8943,109.4676
-44.5643,110.2582
-44.2121,111.0766
-43.8699,111.8479
